gene_symbol,log2FoldChange,lfcSE,padj,context
CALCOCO1,-0.9598453566156148,0.4022022027244089,0.0351997272012775,GSE278320 VacV
UBR7,-0.4198385266759155,0.1818724839607328,0.0423160622308738,GSE278320 VacV
MAP4K5,0.8655080799235366,0.2129893787033359,0.0001963480628923,GSE278320 VacV
PSMC4,-1.072341680014442,0.3404886692431041,0.0044505740965239,GSE278320 VacV
MAN2B2,2.632389020019903,0.3377768550338461,1.4958318870328546e-13,GSE278320 VacV
SLC25A39,-2.255996933241573,0.27256881384,3.471271666844736e-15,GSE278320 VacV
MVP,1.0595068789978856,0.4482836276886274,0.0371876672134796,GSE278320 VacV
NUB1,-1.3201660072390653,0.2162608272332774,1.0776214956123122e-08,GSE278320 VacV
PGM3,0.5673643933660313,0.1641112496122082,0.001680254008313,GSE278320 VacV
RWDD2A,0.0675321147866561,0.3427121185816544,0.89403292978825,GSE278320 VacV
CLK1,4.090173154412728,0.2738679350468168,2.0804580259448776e-48,GSE278320 VacV
